"np","dist","gamma","id","timelag","spacelag","avgDist"
"138",26134,6.56715442462859,718415.758591041,"lag10",142.5,6.66666666666667,6.60024498015333
"139",25242,9.32862161728575,753688.643731095,"lag10",142.5,9.33333333333333,9.32998561145327
"140",34550,12.1073335985258,659749.004027817,"lag10",142.5,12,12.0924339552585
"141",27780,14.5606661169144,663029.070055015,"lag10",142.5,14.6666666666667,14.5768059821679
"142",28980,17.2471907798499,655839.04378488,"lag10",142.5,17.3333333333333,17.2555644435174
"143",19936,20.0403241344936,715747.914988004,"lag10",142.5,20,20.036210560936
"144",19904,22.6083250061133,769369.627892662,"lag10",142.5,22.6666666666667,22.6384091596963
"145",18106,25.2215645155016,791433.199337365,"lag10",142.5,25.3333333333333,25.2014854903965
"146",18330,27.9509370747156,846777.719323243,"lag10",142.5,28,27.9537321307265
"147",18196,30.675593331853,914470.137529102,"lag10",142.5,30.6666666666667,30.6777973974784
"148",19164,33.370403999091,976730.003695073,"lag10",142.5,33.3333333333333,33.3735084578813
"149",18046,35.9710374020648,919227.49452797,"lag10",142.5,36,35.9662108680481
"150",18928,38.7030612737962,999676.078001298,"lag10",142.5,38.6666666666667,38.6972562381699
"151",61554,0.870897783139438,466677.385663368,"lag11",157.5,1.33333333333333,0.869797621567366
"152",50488,4.08892188637196,470600.09875306,"lag11",157.5,4,4.10048653813318
"153",27572,6.57476211666419,752412.448918624,"lag11",157.5,6.66666666666667,6.60024498015333
"154",25614,9.32953230509071,741753.754792375,"lag11",157.5,9.33333333333333,9.32998561145327
"155",35266,12.0890766226069,689744.172918261,"lag11",157.5,12,12.0924339552585
"156",26906,14.5553644295621,687149.149859458,"lag11",157.5,14.6666666666667,14.5768059821679
"157",29326,17.2579199969887,701688.067392966,"lag11",157.5,17.3333333333333,17.2555644435174
"158",19980,20.0390760500807,788804.566453557,"lag11",157.5,20,20.036210560936
"159",19374,22.6202040704265,838458.976987859,"lag11",157.5,22.6666666666667,22.6384091596963
"160",17556,25.2248655171756,866023.083217784,"lag11",157.5,25.3333333333333,25.2014854903965
"161",17950,27.9586440674559,880536.337436387,"lag11",157.5,28,27.9537321307265
"162",18434,30.6718887588225,992322.966658296,"lag11",157.5,30.6666666666667,30.6777973974784
"163",19516,33.3644558326542,967743.403823443,"lag11",157.5,33.3333333333333,33.3735084578813
"164",17860,35.9528801117302,935524.181214424,"lag11",157.5,36,35.9662108680481
"165",19514,38.7008442149578,991499.19865929,"lag11",157.5,38.6666666666667,38.6972562381699
"166",58794,0.873378652245061,398569.245347033,"lag12",172.5,1.33333333333333,0.869797621567366
"167",48742,4.09527991469097,428408.699946659,"lag12",172.5,4,4.10048653813318
"168",26112,6.56755326086336,711262.15775639,"lag12",172.5,6.66666666666667,6.60024498015333
"169",24646,9.33423405277832,763994.132070695,"lag12",172.5,9.33333333333333,9.32998561145327
"170",35290,12.0999052145675,637670.06550967,"lag12",172.5,12,12.0924339552585
"171",27488,14.5561418175474,685340.283360721,"lag12",172.5,14.6666666666667,14.5768059821679
"172",28830,17.2616808364226,639976.346410809,"lag12",172.5,17.3333333333333,17.2555644435174
"173",20200,20.027945826988,713098.55076944,"lag12",172.5,20,20.036210560936
"174",18510,22.6472057475921,774194.278944064,"lag12",172.5,22.6666666666667,22.6384091596963
"175",17538,25.2177623308256,807767.754465567,"lag12",172.5,25.3333333333333,25.2014854903965
"176",17418,27.9472884794764,846663.85042029,"lag12",172.5,28,27.9537321307265
"177",18000,30.6726536790909,933097.011146776,"lag12",172.5,30.6666666666667,30.6777973974784
"178",19432,33.3771182146241,913397.046636123,"lag12",172.5,33.3333333333333,33.3735084578813
"179",17992,35.9609001677751,920706.245723664,"lag12",172.5,36,35.9662108680481
"180",18928,38.7105380423738,966999.388116624,"lag12",172.5,38.6666666666667,38.6972562381699
"181",61826,0.891520392706841,464042.25118787,"lag13",187.5,1.33333333333333,0.869797621567366
"182",52188,4.07867194994695,465054.999809535,"lag13",187.5,4,4.10048653813318
"183",29876,6.57188662960149,655037.355980426,"lag13",187.5,6.66666666666667,6.60024498015333
"184",28240,9.33555958903707,707578.511197884,"lag13",187.5,9.33333333333333,9.32998561145327
"185",38660,12.0910037957882,639629.362920389,"lag13",187.5,12,12.0924339552585
"186",29644,14.5573395357744,662865.1990597,"lag13",187.5,14.6666666666667,14.5768059821679
"187",31190,17.2534814812832,672350.569893995,"lag13",187.5,17.3333333333333,17.2555644435174
"188",21774,20.0266457805794,732192.798626925,"lag13",187.5,20,20.036210560936
"189",20958,22.6415766244602,770044.835230748,"lag13",187.5,22.6666666666667,22.6384091596963
"190",19268,25.2360696421624,789497.727057118,"lag13",187.5,25.3333333333333,25.2014854903965
"191",19184,27.9685565452869,858972.333712109,"lag13",187.5,28,27.9537321307265
"192",19338,30.6690253453163,937065.330124695,"lag13",187.5,30.6666666666667,30.6777973974784
"193",21556,33.3725041390743,960380.596615661,"lag13",187.5,33.3333333333333,33.3735084578813
"194",19838,35.9592024777165,891030.445729236,"lag13",187.5,36,35.9662108680481
"195",21082,38.6918391703841,915899.018382943,"lag13",187.5,38.6666666666667,38.6972562381699
"196",56458,0.873832107921244,423742.264459467,"lag14",202.5,1.33333333333333,0.869797621567366
"197",47740,4.07352736658393,441383.216080912,"lag14",202.5,4,4.10048653813318
"198",26214,6.56356156777819,714990.883072122,"lag14",202.5,6.66666666666667,6.60024498015333
"199",24228,9.3557303048571,741122.577774341,"lag14",202.5,9.33333333333333,9.32998561145327
"200",34798,12.1196207446481,643277.616562536,"lag14",202.5,12,12.0924339552585
"201",26524,14.5424704265987,695112.455151309,"lag14",202.5,14.6666666666667,14.5768059821679
"202",26710,17.2427948338095,707550.122783659,"lag14",202.5,17.3333333333333,17.2555644435174
"203",18554,20.031755603373,746892.025853895,"lag14",202.5,20,20.036210560936
"204",18022,22.6619145170071,841302.230539625,"lag14",202.5,22.6666666666667,22.6384091596963
"205",17728,25.2323356959737,792377.328923005,"lag14",202.5,25.3333333333333,25.2014854903965
"206",17704,27.9567326896304,868129.006450568,"lag14",202.5,28,27.9537321307265
"207",18420,30.6867021564549,917101.133858754,"lag14",202.5,30.6666666666667,30.6777973974784
"208",19536,33.3842082964629,942291.827424084,"lag14",202.5,33.3333333333333,33.3735084578813
"209",17960,35.9606784119022,920725.753581999,"lag14",202.5,36,35.9662108680481
"210",19722,38.6813435789879,938655.973597527,"lag14",202.5,38.6666666666667,38.6972562381699
"211",59134,0.892846560333192,456302.021597647,"lag15",217.5,1.33333333333333,0.869797621567366
"212",49302,4.08149425953086,488761.435889954,"lag15",217.5,4,4.10048653813318
"213",27530,6.53725104064892,718165.392786064,"lag15",217.5,6.66666666666667,6.60024498015333
"214",24996,9.34983907053818,772268.014970265,"lag15",217.5,9.33333333333333,9.32998561145327
"215",35338,12.0902296756945,685129.682649211,"lag15",217.5,12,12.0924339552585
"216",27270,14.5448981409068,690309.848342338,"lag15",217.5,14.6666666666667,14.5768059821679
"217",27080,17.2707860866143,734249.841026074,"lag15",217.5,17.3333333333333,17.2555644435174
"218",18882,20.0170175533181,800570.777649683,"lag15",217.5,20,20.036210560936
"219",18766,22.6671742332621,859461.26347535,"lag15",217.5,22.6666666666667,22.6384091596963
"220",18180,25.2278238385701,845977.501770506,"lag15",217.5,25.3333333333333,25.2014854903965
"221",18648,27.9651095802653,885981.564973442,"lag15",217.5,28,27.9537321307265
"222",18666,30.6825935962823,953884.991866366,"lag15",217.5,30.6666666666667,30.6777973974784
"223",20218,33.374789949723,919533.330077893,"lag15",217.5,33.3333333333333,33.3735084578813
"224",18320,35.9639776968125,944393.963522949,"lag15",217.5,36,35.9662108680481
"225",19636,38.7065114460387,964522.115020826,"lag15",217.5,38.6666666666667,38.6972562381699
